usuario_id,canal,fonte_midia,data_inicio
0001e65d-6221-489c-bbce-7180eb0ba458,email,Google Ads,2025-03-17 01:41:24+00
00696cf2-ee56-4975-8b21-f9aeb1e28f38,sms,Facebook Ads,2025-01-15 09:11:10+00
00acae25-1a99-41ed-8def-326cc6c76306,sms,Facebook Ads,2025-01-26 19:55:06+00
00e6d374-5351-446e-bccc-bfd73fac9eb7,email,Orgânico,2025-02-24 14:28:25+00
00fc1b38-a695-434a-944c-68e7776ed3ae,email,Orgânico,2025-02-26 15:48:12+00
01394037-c58c-4afb-a570-6e83f5ddfb7f,email,Google Ads,2025-03-27 16:38:11+00
014811dd-26cd-4cc3-b415-6bff047c53d8,sms,Google Ads,2025-01-17 00:18:38+00
01d21807-1c46-449d-9b71-23869de64faa,push,Orgânico,2025-02-21 14:10:59+00
02b78f2f-b580-48af-ae92-b663f1f72fca,email,Google Ads,2025-02-04 14:19:56+00
02e8d6ac-85db-47ce-9b65-db7d1a14d1d7,push,Facebook Ads,2025-03-27 17:30:30+00
03f41dc8-cd6f-4a53-80ee-5aee88398ba0,mms,Facebook Ads,2025-01-23 04:34:24+00
0414f776-0d55-44b0-a028-fadcecdb42a6,sms,Google Ads,2025-01-03 16:46:16+00
04225de8-494c-4581-9ca1-e2237c60f7e3,email,Google Ads,2025-03-11 15:58:57+00
04738dee-defc-4bb6-b950-d23b3bdb8514,email,Orgânico,2025-01-24 09:00:04+00
04d72822-52c6-4bf2-8598-7c69a9efa826,push,Orgânico,2025-02-14 05:44:31+00
04ea544b-985d-4746-9ead-336a069cc874,sms,Facebook Ads,2025-01-08 09:41:37+00
0536ab96-3755-4b77-9f7e-652b98c27427,sms,Google Ads,2025-01-27 15:17:25+00
05fcc3e4-cad8-415a-8f82-1c98646c427e,sms,Facebook Ads,2025-02-09 02:45:01+00
06a1cbb5-b993-47e3-89d3-e84b19e3c0c8,push,Facebook Ads,2025-01-01 17:09:28+00
06e408b5-de12-4db3-bfd8-a525a14bebf6,mms,Facebook Ads,2025-01-21 22:14:34+00
07a87909-6be5-47ec-9b53-eaecee8541ce,mms,Facebook Ads,2025-01-14 12:26:18+00
08005ff2-f72b-4d3d-a6c9-2ac60bf4292a,mms,Orgânico,2025-01-10 05:24:50+00
08141c42-a3bf-4ff0-887e-bfe7515aaffb,sms,Google Ads,2025-03-04 03:40:11+00
0858848a-dab6-46ed-9339-73d9b6f22627,push,Google Ads,2025-03-25 12:35:13+00
0886a57d-2316-49c1-b222-3c037a57829e,sms,Facebook Ads,2025-03-06 20:22:15+00
089fceaf-3c59-4b8c-a84b-968ba0a44000,push,Facebook Ads,2025-02-02 06:19:50+00
08f613a6-0b8f-46b4-b3ca-6e693781c492,sms,Orgânico,2025-03-28 05:32:18+00
090203a5-1ab5-45d7-98b3-226871c7e394,sms,Google Ads,2025-02-25 14:45:59+00
091775d7-c3ef-40f6-897d-271ca1282040,push,Google Ads,2025-02-18 08:08:05+00
093ad6ec-aec4-473f-bae2-0fe08c594472,push,Facebook Ads,2025-01-12 09:09:59+00
095149c9-5f5f-45b1-a639-3c1d153e7976,sms,Google Ads,2025-01-28 19:55:21+00
099b21d4-91af-4b90-adb7-ae6bdc4f43c8,sms,Google Ads,2025-01-09 20:47:07+00
0a2bb9fe-230c-472f-a4ad-1151bd4ba345,email,Facebook Ads,2025-01-26 16:47:31+00
0a375da9-4359-43be-9046-993504cdd3f9,mms,Orgânico,2025-02-08 11:08:56+00
0a7150b8-9b47-4d9c-a3ee-7acade671616,mms,Facebook Ads,2025-02-24 20:53:42+00
0a761424-25fa-49f0-9d36-43db9b9f80b6,mms,Google Ads,2025-02-06 08:34:44+00
0ad4052d-aa71-4627-b1be-634a86eefa51,mms,Orgânico,2025-02-16 18:51:49+00
0adfe8c6-00a1-420c-a191-e6719d2d57e7,mms,Orgânico,2025-02-25 01:24:40+00
0b079f8a-c816-429c-939e-06e53fac8dbd,sms,Google Ads,2025-01-20 08:09:41+00
0b9d10a3-a88b-4e76-88e3-4f5aef6d6984,push,Orgânico,2025-02-08 20:17:20+00
0be1e4f1-d555-495c-ab1c-039f9bc8e296,email,Orgânico,2025-01-26 17:58:12+00
0bfc76f2-f3f5-4092-8869-6326d3369020,email,Facebook Ads,2025-02-22 09:25:33+00
0c331f01-7ee2-4165-af66-9e1945305987,email,Orgânico,2025-01-15 05:23:44+00
0c4f9140-314c-44be-8c48-9205a043776c,sms,Orgânico,2025-01-30 04:55:30+00
0c5396fc-21b6-4df0-985e-300ae74b3266,sms,Google Ads,2025-03-22 21:44:14+00
0c7fec68-24b4-4777-9620-d378f115698f,sms,Facebook Ads,2025-03-21 09:35:50+00
0d190abb-5aea-4e16-bac7-7312e510721b,email,Facebook Ads,2025-02-27 04:52:36+00
0d48861f-6ca9-4ef4-88a1-fc135687d2ce,push,Orgânico,2025-02-02 02:30:57+00
0d5c5c51-fe18-493c-9efb-7d74c7320301,mms,Google Ads,2025-02-28 19:33:01+00
0d800fb9-b42d-4e2a-8c5f-8afc4c022485,sms,Orgânico,2025-01-15 18:22:25+00
0da8bac4-c453-4368-855a-d734fafc70a6,sms,Facebook Ads,2025-02-25 12:23:29+00
0e085fa7-a9dd-4346-8f7c-5e576d2e63db,mms,Google Ads,2025-02-16 23:58:11+00
0e252e0d-3637-4c1d-b354-e8dc695e4bdd,sms,Facebook Ads,2025-03-24 23:07:34+00
0e887e9b-4da3-4382-8784-b7fe891d6a5b,push,Orgânico,2025-01-21 15:13:48+00
0ea3db1e-7f39-4f5d-b19f-399860a5e52a,push,Facebook Ads,2025-03-23 07:08:06+00
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,push,Orgânico,2025-01-29 04:05:52+00
0eb5cc9d-dfb0-4fcb-838c-714af77ef87b,email,Orgânico,2025-01-01 20:27:37+00
0f46e400-5a6f-4717-9266-370e1316f72d,email,Google Ads,2025-03-07 03:54:03+00
0f4bc3ad-8c01-4a2f-b524-cd0b447c9ee9,push,Orgânico,2025-03-21 03:27:42+00
0f5a57b7-1961-4eb7-af6d-8180d4b7dded,mms,Facebook Ads,2025-01-06 13:40:56+00
0f83fb3c-01d9-48b5-8ba0-12adc865bc26,push,Orgânico,2025-01-03 09:01:04+00
0f8527e2-fc9a-4fb4-bc25-80202476abf9,mms,Orgânico,2025-01-31 22:28:58+00
0ffec911-6edd-4dcf-95a8-8e26f296839c,mms,Facebook Ads,2025-02-27 11:39:14+00
109bf7e4-508a-42d3-80a9-2517ae1ffd8c,mms,Orgânico,2025-02-07 14:19:13+00
1111dab0-a866-477a-aa25-4d880b2cd041,mms,Facebook Ads,2025-01-27 04:18:25+00
1195112e-aa25-42e6-aaaa-c41b1deb6ffe,sms,Facebook Ads,2025-01-06 17:21:30+00
11d4f40f-6272-4ddf-bd8e-8ed32ad3d0af,push,Orgânico,2025-03-08 16:16:01+00
11e9fbf8-ff53-4729-bd35-75dff7c7f749,email,Facebook Ads,2025-01-25 15:54:15+00
