usuario_id,faixa_etaria
0001e65d-6221-489c-bbce-7180eb0ba458,35-44
00696cf2-ee56-4975-8b21-f9aeb1e28f38,18-24
00acae25-1a99-41ed-8def-326cc6c76306,25-34
00e6d374-5351-446e-bccc-bfd73fac9eb7,45-54
00fc1b38-a695-434a-944c-68e7776ed3ae,35-44
01394037-c58c-4afb-a570-6e83f5ddfb7f,18-24
014811dd-26cd-4cc3-b415-6bff047c53d8,25-34
01d21807-1c46-449d-9b71-23869de64faa,45-54
02b78f2f-b580-48af-ae92-b663f1f72fca,45-54
02e8d6ac-85db-47ce-9b65-db7d1a14d1d7,35-44
03f41dc8-cd6f-4a53-80ee-5aee88398ba0,25-34
0414f776-0d55-44b0-a028-fadcecdb42a6,35-44
04225de8-494c-4581-9ca1-e2237c60f7e3,55+
04738dee-defc-4bb6-b950-d23b3bdb8514,25-34
04d72822-52c6-4bf2-8598-7c69a9efa826,35-44
04ea544b-985d-4746-9ead-336a069cc874,18-24
0536ab96-3755-4b77-9f7e-652b98c27427,45-54
05fcc3e4-cad8-415a-8f82-1c98646c427e,25-34
06a1cbb5-b993-47e3-89d3-e84b19e3c0c8,45-54
06e408b5-de12-4db3-bfd8-a525a14bebf6,18-24
07a87909-6be5-47ec-9b53-eaecee8541ce,25-34
08005ff2-f72b-4d3d-a6c9-2ac60bf4292a,25-34
08141c42-a3bf-4ff0-887e-bfe7515aaffb,35-44
0858848a-dab6-46ed-9339-73d9b6f22627,45-54
0886a57d-2316-49c1-b222-3c037a57829e,25-34
089fceaf-3c59-4b8c-a84b-968ba0a44000,25-34
08f613a6-0b8f-46b4-b3ca-6e693781c492,35-44
090203a5-1ab5-45d7-98b3-226871c7e394,45-54
091775d7-c3ef-40f6-897d-271ca1282040,18-24
093ad6ec-aec4-473f-bae2-0fe08c594472,25-34
095149c9-5f5f-45b1-a639-3c1d153e7976,18-24
099b21d4-91af-4b90-adb7-ae6bdc4f43c8,35-44
0a2bb9fe-230c-472f-a4ad-1151bd4ba345,25-34
0a375da9-4359-43be-9046-993504cdd3f9,18-24
0a7150b8-9b47-4d9c-a3ee-7acade671616,45-54
0a761424-25fa-49f0-9d36-43db9b9f80b6,45-54
0ad4052d-aa71-4627-b1be-634a86eefa51,35-44
0adfe8c6-00a1-420c-a191-e6719d2d57e7,55+
0b079f8a-c816-429c-939e-06e53fac8dbd,25-34
0b9d10a3-a88b-4e76-88e3-4f5aef6d6984,35-44
0be1e4f1-d555-495c-ab1c-039f9bc8e296,35-44
0bfc76f2-f3f5-4092-8869-6326d3369020,18-24
0c331f01-7ee2-4165-af66-9e1945305987,35-44
0c4f9140-314c-44be-8c48-9205a043776c,45-54
0c5396fc-21b6-4df0-985e-300ae74b3266,18-24
0c7fec68-24b4-4777-9620-d378f115698f,55+
0d190abb-5aea-4e16-bac7-7312e510721b,45-54
0d48861f-6ca9-4ef4-88a1-fc135687d2ce,55+
0d5c5c51-fe18-493c-9efb-7d74c7320301,18-24
0d800fb9-b42d-4e2a-8c5f-8afc4c022485,45-54
0da8bac4-c453-4368-855a-d734fafc70a6,18-24
0e085fa7-a9dd-4346-8f7c-5e576d2e63db,35-44
0e252e0d-3637-4c1d-b354-e8dc695e4bdd,35-44
0e887e9b-4da3-4382-8784-b7fe891d6a5b,35-44
0ea3db1e-7f39-4f5d-b19f-399860a5e52a,35-44
0ea9d453-5d0a-409c-ae9d-a5804bcabb76,45-54
0eb5cc9d-dfb0-4fcb-838c-714af77ef87b,25-34
0f46e400-5a6f-4717-9266-370e1316f72d,35-44
0f4bc3ad-8c01-4a2f-b524-cd0b447c9ee9,18-24
0f5a57b7-1961-4eb7-af6d-8180d4b7dded,55+
0f83fb3c-01d9-48b5-8ba0-12adc865bc26,18-24
0f8527e2-fc9a-4fb4-bc25-80202476abf9,25-34
0ffec911-6edd-4dcf-95a8-8e26f296839c,25-34
109bf7e4-508a-42d3-80a9-2517ae1ffd8c,18-24
1111dab0-a866-477a-aa25-4d880b2cd041,35-44
1195112e-aa25-42e6-aaaa-c41b1deb6ffe,25-34
11d4f40f-6272-4ddf-bd8e-8ed32ad3d0af,25-34
11e9fbf8-ff53-4729-bd35-75dff7c7f749,35-44
125261fd-ae0f-4a17-8ee4-01e73f588110,25-34
1269871d-0fe5-455f-b86a-01ce399466a1,55+
13075256-12a3-4f36-a096-be18bd8a1509,25-34
131177a9-7a27-488b-9b62-3e5c1369d419,35-44
1324b1fd-4f57-48fe-8924-b99cc5a19bd6,55+
13f84baf-0559-462e-ae07-4ec20729a674,35-44
14848dc8-6e92-4fe3-9b61-f6e9d86b7c0f,18-24
14fbf24a-3bd8-4c0c-97c4-e95664a6dbfb,25-34
15082cf2-4889-4ea1-8fa8-2353a59edc10,45-54
15656a15-9090-4e9b-922d-68a7a295d06f,25-34
156e0c95-7dd2-4a7f-ac45-346e216d3ffd,25-34
157c70ab-f24d-42e1-9f33-3418706cbb35,25-34
158c513f-ae6b-4ade-85df-e48f91f6274c,55+
15967fba-c5ba-4348-8c9b-9978f3191ecb,55+
15bce94c-7245-4cd2-bf96-c0a33820217f,35-44
15befc47-95e5-470b-976c-8da58f67a8b2,25-34
15d9af71-65b1-4bb0-8cc8-0f95c3ad7fb7,45-54
160259d1-dd4f-4208-9d10-3e99b22158d0,55+
16d241c1-0dc0-4eaa-9e0f-12f4bf11b8b8,55+
16d367b5-49e5-4c99-959c-b763afdffe4c,35-44
16e2828b-af81-4f84-88db-077378824cae,55+
16fba500-4bea-4382-b05e-ae3b8da237f1,25-34
172ef025-701f-4bd1-afb5-fcc9fe7ad2f3,55+
1812a2a4-3eba-44ab-98dc-8fc607b28fee,35-44
1812a9ec-7298-4fad-80f8-189330c1e442,25-34
18583997-d0c3-4ed5-ba00-0fc57f98d77c,18-24
190d9586-5b13-4fe2-9c74-a07d76a43eb2,45-54
19458e79-8bcb-4e20-af2f-cbc498a727a6,25-34
19e9c089-ee67-48c6-98af-083664492e34,35-44
19f91131-18ff-44bf-9ec2-4fe632d80498,25-34
1a154933-a9a3-4105-9cba-a0d83f576939,18-24
1a288f01-863e-437e-a76e-f8ad75230e11,45-54
1a525a90-e1bb-4b01-9665-6cb02c3f267c,35-44
1a80530f-a671-441e-a9ce-200c105cf99d,18-24
1ac25f0d-a06c-4834-9c07-e2cad0e0428e,35-44
1ca565da-4b4a-43c5-89d9-efc0eb29956c,18-24
1ca66e13-0e5c-44c4-a358-fb62e85a23b8,25-34
1cb274a7-392e-4bdd-bb0a-449356edda03,55+
1cbd5985-587c-4b8b-b5ac-d16aee2f9876,25-34
1d1f7bd2-9808-47e0-abc8-3793296327a3,45-54
1d73e149-a528-4056-92c4-971bab1a671c,45-54
1de5973d-30d8-43ad-9d6d-9e07f9719dca,55+
1e0dcd9b-c1be-4a25-ad9b-3358c06a3bdb,55+
1e5a574f-8044-44bf-8a2f-47cc371281f1,55+
1efde57a-cd74-466e-a608-0222f8a2351d,18-24
1eff5346-a450-407f-83a7-94ab363ce0c8,25-34
1f463379-b919-431b-aa3f-906f30d22def,25-34
1f63d762-eb34-41a7-9a28-d4ee4a895c8b,25-34
1f642c93-d3b7-4495-80a3-735cd0e02966,18-24
1faf8869-fcf0-4f39-a22b-8db5fb3e1b59,35-44
1fdbdcd0-d0c4-42b9-9dca-e5d12ce2b5e2,25-34
1ff84875-6efc-49fb-a063-e1f6cfe2fa42,18-24
1ffd8739-e14d-4f51-837e-6303aa3287a5,45-54
20b15ceb-d6f0-4f86-9489-098a8ab0c8d5,55+
20bd3136-28e0-4ad6-9dd7-88103c9eeff8,25-34
20e1bc4d-b32c-49ea-8b41-eb093a901af0,45-54
20e572cd-e02a-4b92-b706-1aa34404a2b9,55+
21a67327-b8dc-4b9c-9ea2-c6c0e8009000,45-54
21a95731-065f-4077-9f6d-935c9d7767dd,45-54
21b8da9f-2d8b-4893-8f3f-fd0ec1e2d704,25-34
22541800-6135-4b05-88b3-01c78a2bad81,45-54
22bc9898-3d0a-4540-a9c0-840a2aab12ec,35-44
22d89b0e-43e8-46b5-b9f7-01e34fb6a03b,45-54
23677294-2443-47c4-9215-d1610f7582fa,18-24
23a971c8-01b5-45a3-8e3f-3522479fed26,55+
24a0adf0-bb2e-4e00-b9b2-9c122cd268fa,55+
24d7b12c-8df9-4c09-9771-7517d8992e84,55+
24db78d8-59e9-4bae-8b4e-eeaee92184dc,18-24
24f33e76-63f4-465c-9a2e-ed18ceba4a7c,45-54
24f65ba1-bc39-442b-83fd-adcbfe3eba3d,18-24
25993933-95d4-4d38-b4bb-1da4376967bb,25-34
25f92d6d-70f7-4e9c-b8fb-72e070850c59,45-54
2649b7ce-521f-47a7-8021-bd832defc2cb,25-34
264a0e39-1d91-4c12-9274-22a6754aa631,35-44
