usuario_id,data,ano,mes,dia,dia_semana,hora
0001e65d-6221-489c-bbce-7180eb0ba458,2025-03-17,2025,3,17,1,1
00696cf2-ee56-4975-8b21-f9aeb1e28f38,2025-01-15,2025,1,15,3,9
00acae25-1a99-41ed-8def-326cc6c76306,2025-01-26,2025,1,26,0,19
00e6d374-5351-446e-bccc-bfd73fac9eb7,2025-02-24,2025,2,24,1,14
00fc1b38-a695-434a-944c-68e7776ed3ae,2025-02-26,2025,2,26,3,15
01394037-c58c-4afb-a570-6e83f5ddfb7f,2025-03-27,2025,3,27,4,16
014811dd-26cd-4cc3-b415-6bff047c53d8,2025-01-17,2025,1,17,5,0
01d21807-1c46-449d-9b71-23869de64faa,2025-02-21,2025,2,21,5,14
02b78f2f-b580-48af-ae92-b663f1f72fca,2025-02-04,2025,2,4,2,14
02e8d6ac-85db-47ce-9b65-db7d1a14d1d7,2025-03-27,2025,3,27,4,17
03f41dc8-cd6f-4a53-80ee-5aee88398ba0,2025-01-23,2025,1,23,4,4
0414f776-0d55-44b0-a028-fadcecdb42a6,2025-01-03,2025,1,3,5,16
04225de8-494c-4581-9ca1-e2237c60f7e3,2025-03-11,2025,3,11,2,15
04738dee-defc-4bb6-b950-d23b3bdb8514,2025-01-24,2025,1,24,5,9
04d72822-52c6-4bf2-8598-7c69a9efa826,2025-02-14,2025,2,14,5,5
04ea544b-985d-4746-9ead-336a069cc874,2025-01-08,2025,1,8,3,9
0536ab96-3755-4b77-9f7e-652b98c27427,2025-01-27,2025,1,27,1,15
05fcc3e4-cad8-415a-8f82-1c98646c427e,2025-02-09,2025,2,9,0,2
06a1cbb5-b993-47e3-89d3-e84b19e3c0c8,2025-01-01,2025,1,1,3,17
06e408b5-de12-4db3-bfd8-a525a14bebf6,2025-01-21,2025,1,21,2,22
07a87909-6be5-47ec-9b53-eaecee8541ce,2025-01-14,2025,1,14,2,12
08005ff2-f72b-4d3d-a6c9-2ac60bf4292a,2025-01-10,2025,1,10,5,5
08141c42-a3bf-4ff0-887e-bfe7515aaffb,2025-03-04,2025,3,4,2,3
0858848a-dab6-46ed-9339-73d9b6f22627,2025-03-25,2025,3,25,2,12
0886a57d-2316-49c1-b222-3c037a57829e,2025-03-06,2025,3,6,4,20
089fceaf-3c59-4b8c-a84b-968ba0a44000,2025-02-02,2025,2,2,0,6
08f613a6-0b8f-46b4-b3ca-6e693781c492,2025-03-28,2025,3,28,5,5
090203a5-1ab5-45d7-98b3-226871c7e394,2025-02-25,2025,2,25,2,14
091775d7-c3ef-40f6-897d-271ca1282040,2025-02-18,2025,2,18,2,8
093ad6ec-aec4-473f-bae2-0fe08c594472,2025-01-12,2025,1,12,0,9
095149c9-5f5f-45b1-a639-3c1d153e7976,2025-01-28,2025,1,28,2,19
