usuario_id,canal,investimento,data_aquisicao,fonte_midia,plataforma,versao_app,marca,modelo
0001e65d-6221-489c-bbce-7180eb0ba458,email,4.63,2025-03-17 01:41:24+00,Google Ads,iOS,1,Apple,iPhone SE
00696cf2-ee56-4975-8b21-f9aeb1e28f38,sms,0.43,2025-01-15 09:11:10+00,Facebook Ads,Android,1.1,LG,Wing
00acae25-1a99-41ed-8def-326cc6c76306,sms,1.83,2025-01-26 19:55:06+00,Facebook Ads,iOS,2,Apple,iPhone SE
00e6d374-5351-446e-bccc-bfd73fac9eb7,email,0.00,2025-02-24 14:28:25+00,Orgânico,Android,1,Motorola,Moto Edge
00fc1b38-a695-434a-944c-68e7776ed3ae,email,0.00,2025-02-26 15:48:12+00,Orgânico,iOS,1,Apple,iPhone 13
01394037-c58c-4afb-a570-6e83f5ddfb7f,email,0.79,2025-03-27 16:38:11+00,Google Ads,Android,2,Motorola,Moto G Stylus
014811dd-26cd-4cc3-b415-6bff047c53d8,sms,3.91,2025-01-17 00:18:38+00,Google Ads,Android,1.1,Xiaomi,Redmi Note 10
01d21807-1c46-449d-9b71-23869de64faa,push,0.00,2025-02-21 14:10:59+00,Orgânico,Android,1,Motorola,Moto G Power
02b78f2f-b580-48af-ae92-b663f1f72fca,email,4.93,2025-02-04 14:19:56+00,Google Ads,Android,2,LG,K51
02e8d6ac-85db-47ce-9b65-db7d1a14d1d7,push,1.77,2025-03-27 17:30:30+00,Facebook Ads,iOS,1,Apple,iPhone 12
03f41dc8-cd6f-4a53-80ee-5aee88398ba0,mms,1.84,2025-01-23 04:34:24+00,Facebook Ads,iOS,1.2,Apple,iPhone 12
0414f776-0d55-44b0-a028-fadcecdb42a6,sms,3.23,2025-01-03 16:46:16+00,Google Ads,iOS,1.2,Apple,iPhone 13
04225de8-494c-4581-9ca1-e2237c60f7e3,email,0.40,2025-03-11 15:58:57+00,Google Ads,iOS,1.2,Apple,iPhone SE
04738dee-defc-4bb6-b950-d23b3bdb8514,email,0.00,2025-01-24 09:00:04+00,Orgânico,Android,1.2,LG,Wing
04d72822-52c6-4bf2-8598-7c69a9efa826,push,0.00,2025-02-14 05:44:31+00,Orgânico,iOS,1.2,Apple,iPhone 12
04ea544b-985d-4746-9ead-336a069cc874,sms,1.41,2025-01-08 09:41:37+00,Facebook Ads,Android,1,Samsung,Galaxy S21
0536ab96-3755-4b77-9f7e-652b98c27427,sms,1.66,2025-01-27 15:17:25+00,Google Ads,iOS,2,Apple,iPhone 12
05fcc3e4-cad8-415a-8f82-1c98646c427e,sms,0.77,2025-02-09 02:45:01+00,Facebook Ads,Android,2,Xiaomi,Redmi Note 10
06a1cbb5-b993-47e3-89d3-e84b19e3c0c8,push,3.58,2025-01-01 17:09:28+00,Facebook Ads,iOS,1,Apple,iPhone 13
06e408b5-de12-4db3-bfd8-a525a14bebf6,mms,1.15,2025-01-21 22:14:34+00,Facebook Ads,iOS,1,Apple,iPhone 12
