id_data,data,ano,mes,dia,nome_mes_pt,trimestre,semana,dia_semana,dia_semana_num,ano_mes,ano_mes_dia
1,2024-01-10,2024,1,10,Janeiro,Q1,2,Wednesday,2,2024-01,2024-01-10
2,2024-01-11,2024,1,11,Janeiro,Q1,2,Thursday,3,2024-01,2024-01-11
3,2024-01-12,2024,1,12,Janeiro,Q1,2,Friday,4,2024-01,2024-01-12
4,2024-01-13,2024,1,13,Janeiro,Q1,2,Saturday,5,2024-01,2024-01-13
5,2024-01-14,2024,1,14,Janeiro,Q1,2,Sunday,6,2024-01,2024-01-14
6,2024-01-15,2024,1,15,Janeiro,Q1,3,Monday,0,2024-01,2024-01-15
7,2024-01-16,2024,1,16,Janeiro,Q1,3,Tuesday,1,2024-01,2024-01-16
8,2024-01-17,2024,1,17,Janeiro,Q1,3,Wednesday,2,2024-01,2024-01-17
9,2024-01-18,2024,1,18,Janeiro,Q1,3,Thursday,3,2024-01,2024-01-18
10,2024-01-19,2024,1,19,Janeiro,Q1,3,Friday,4,2024-01,2024-01-19
11,2024-01-20,2024,1,20,Janeiro,Q1,3,Saturday,5,2024-01,2024-01-20
12,2024-01-21,2024,1,21,Janeiro,Q1,3,Sunday,6,2024-01,2024-01-21
13,2024-01-22,2024,1,22,Janeiro,Q1,4,Monday,0,2024-01,2024-01-22
14,2024-01-23,2024,1,23,Janeiro,Q1,4,Tuesday,1,2024-01,2024-01-23
15,2024-01-24,2024,1,24,Janeiro,Q1,4,Wednesday,2,2024-01,2024-01-24
16,2024-01-25,2024,1,25,Janeiro,Q1,4,Thursday,3,2024-01,2024-01-25
17,2024-01-26,2024,1,26,Janeiro,Q1,4,Friday,4,2024-01,2024-01-26
18,2024-01-27,2024,1,27,Janeiro,Q1,4,Saturday,5,2024-01,2024-01-27
19,2024-01-28,2024,1,28,Janeiro,Q1,4,Sunday,6,2024-01,2024-01-28
20,2024-01-29,2024,1,29,Janeiro,Q1,5,Monday,0,2024-01,2024-01-29
21,2024-01-30,2024,1,30,Janeiro,Q1,5,Tuesday,1,2024-01,2024-01-30
22,2024-01-31,2024,1,31,Janeiro,Q1,5,Wednesday,2,2024-01,2024-01-31
23,2024-02-01,2024,2,1,Fevereiro,Q1,5,Thursday,3,2024-02,2024-02-01
24,2024-02-02,2024,2,2,Fevereiro,Q1,5,Friday,4,2024-02,2024-02-02
25,2024-02-03,2024,2,3,Fevereiro,Q1,5,Saturday,5,2024-02,2024-02-03
26,2024-02-04,2024,2,4,Fevereiro,Q1,5,Sunday,6,2024-02,2024-02-04
27,2024-02-05,2024,2,5,Fevereiro,Q1,6,Monday,0,2024-02,2024-02-05
28,2024-02-06,2024,2,6,Fevereiro,Q1,6,Tuesday,1,2024-02,2024-02-06
29,2024-02-07,2024,2,7,Fevereiro,Q1,6,Wednesday,2,2024-02,2024-02-07
30,2024-02-08,2024,2,8,Fevereiro,Q1,6,Thursday,3,2024-02,2024-02-08
31,2024-02-09,2024,2,9,Fevereiro,Q1,6,Friday,4,2024-02,2024-02-09
32,2024-02-10,2024,2,10,Fevereiro,Q1,6,Saturday,5,2024-02,2024-02-10
33,2024-02-11,2024,2,11,Fevereiro,Q1,6,Sunday,6,2024-02,2024-02-11
34,2024-02-12,2024,2,12,Fevereiro,Q1,7,Monday,0,2024-02,2024-02-12
35,2024-02-13,2024,2,13,Fevereiro,Q1,7,Tuesday,1,2024-02,2024-02-13
36,2024-02-14,2024,2,14,Fevereiro,Q1,7,Wednesday,2,2024-02,2024-02-14
37,2024-02-15,2024,2,15,Fevereiro,Q1,7,Thursday,3,2024-02,2024-02-15
38,2024-02-16,2024,2,16,Fevereiro,Q1,7,Friday,4,2024-02,2024-02-16
39,2024-02-17,2024,2,17,Fevereiro,Q1,7,Saturday,5,2024-02,2024-02-17
40,2024-02-18,2024,2,18,Fevereiro,Q1,7,Sunday,6,2024-02,2024-02-18
41,2024-02-19,2024,2,19,Fevereiro,Q1,8,Monday,0,2024-02,2024-02-19
42,2024-02-20,2024,2,20,Fevereiro,Q1,8,Tuesday,1,2024-02,2024-02-20
43,2024-02-21,2024,2,21,Fevereiro,Q1,8,Wednesday,2,2024-02,2024-02-21
44,2024-02-22,2024,2,22,Fevereiro,Q1,8,Thursday,3,2024-02,2024-02-22
45,2024-02-23,2024,2,23,Fevereiro,Q1,8,Friday,4,2024-02,2024-02-23
46,2024-02-24,2024,2,24,Fevereiro,Q1,8,Saturday,5,2024-02,2024-02-24
47,2024-02-25,2024,2,25,Fevereiro,Q1,8,Sunday,6,2024-02,2024-02-25
48,2024-02-26,2024,2,26,Fevereiro,Q1,9,Monday,0,2024-02,2024-02-26
49,2024-02-27,2024,2,27,Fevereiro,Q1,9,Tuesday,1,2024-02,2024-02-27
50,2024-02-28,2024,2,28,Fevereiro,Q1,9,Wednesday,2,2024-02,2024-02-28
51,2024-02-29,2024,2,29,Fevereiro,Q1,9,Thursday,3,2024-02,2024-02-29
52,2024-03-01,2024,3,1,Março,Q1,9,Friday,4,2024-03,2024-03-01
53,2024-03-02,2024,3,2,Março,Q1,9,Saturday,5,2024-03,2024-03-02
54,2024-03-03,2024,3,3,Março,Q1,9,Sunday,6,2024-03,2024-03-03
55,2024-03-04,2024,3,4,Março,Q1,10,Monday,0,2024-03,2024-03-04
56,2024-03-05,2024,3,5,Março,Q1,10,Tuesday,1,2024-03,2024-03-05
57,2024-03-06,2024,3,6,Março,Q1,10,Wednesday,2,2024-03,2024-03-06
58,2024-03-07,2024,3,7,Março,Q1,10,Thursday,3,2024-03,2024-03-07
59,2024-03-08,2024,3,8,Março,Q1,10,Friday,4,2024-03,2024-03-08
60,2024-03-09,2024,3,9,Março,Q1,10,Saturday,5,2024-03,2024-03-09
61,2024-03-10,2024,3,10,Março,Q1,10,Sunday,6,2024-03,2024-03-10
62,2024-03-11,2024,3,11,Março,Q1,11,Monday,0,2024-03,2024-03-11
63,2024-03-12,2024,3,12,Março,Q1,11,Tuesday,1,2024-03,2024-03-12
64,2024-03-13,2024,3,13,Março,Q1,11,Wednesday,2,2024-03,2024-03-13
65,2024-03-14,2024,3,14,Março,Q1,11,Thursday,3,2024-03,2024-03-14
66,2024-03-15,2024,3,15,Março,Q1,11,Friday,4,2024-03,2024-03-15
67,2024-03-16,2024,3,16,Março,Q1,11,Saturday,5,2024-03,2024-03-16
68,2024-03-17,2024,3,17,Março,Q1,11,Sunday,6,2024-03,2024-03-17
69,2024-03-18,2024,3,18,Março,Q1,12,Monday,0,2024-03,2024-03-18
70,2024-03-19,2024,3,19,Março,Q1,12,Tuesday,1,2024-03,2024-03-19
71,2024-03-20,2024,3,20,Março,Q1,12,Wednesday,2,2024-03,2024-03-20
72,2024-03-21,2024,3,21,Março,Q1,12,Thursday,3,2024-03,2024-03-21
73,2024-03-22,2024,3,22,Março,Q1,12,Friday,4,2024-03,2024-03-22
74,2024-03-23,2024,3,23,Março,Q1,12,Saturday,5,2024-03,2024-03-23
75,2024-03-24,2024,3,24,Março,Q1,12,Sunday,6,2024-03,2024-03-24
76,2024-03-25,2024,3,25,Março,Q1,13,Monday,0,2024-03,2024-03-25
77,2024-03-26,2024,3,26,Março,Q1,13,Tuesday,1,2024-03,2024-03-26
78,2024-03-27,2024,3,27,Março,Q1,13,Wednesday,2,2024-03,2024-03-27
79,2024-03-28,2024,3,28,Março,Q1,13,Thursday,3,2024-03,2024-03-28
80,2024-03-29,2024,3,29,Março,Q1,13,Friday,4,2024-03,2024-03-29
81,2024-03-30,2024,3,30,Março,Q1,13,Saturday,5,2024-03,2024-03-30
82,2024-03-31,2024,3,31,Março,Q1,13,Sunday,6,2024-03,2024-03-31
83,2024-04-01,2024,4,1,Abril,Q2,14,Monday,0,2024-04,2024-04-01
84,2024-04-02,2024,4,2,Abril,Q2,14,Tuesday,1,2024-04,2024-04-02
85,2024-04-03,2024,4,3,Abril,Q2,14,Wednesday,2,2024-04,2024-04-03
86,2024-04-04,2024,4,4,Abril,Q2,14,Thursday,3,2024-04,2024-04-04
87,2024-04-05,2024,4,5,Abril,Q2,14,Friday,4,2024-04,2024-04-05
88,2024-04-06,2024,4,6,Abril,Q2,14,Saturday,5,2024-04,2024-04-06
89,2024-04-07,2024,4,7,Abril,Q2,14,Sunday,6,2024-04,2024-04-07
90,2024-04-08,2024,4,8,Abril,Q2,15,Monday,0,2024-04,2024-04-08
91,2024-04-09,2024,4,9,Abril,Q2,15,Tuesday,1,2024-04,2024-04-09
92,2024-04-10,2024,4,10,Abril,Q2,15,Wednesday,2,2024-04,2024-04-10
93,2024-04-11,2024,4,11,Abril,Q2,15,Thursday,3,2024-04,2024-04-11
94,2024-04-12,2024,4,12,Abril,Q2,15,Friday,4,2024-04,2024-04-12
95,2024-04-13,2024,4,13,Abril,Q2,15,Saturday,5,2024-04,2024-04-13
96,2024-04-14,2024,4,14,Abril,Q2,15,Sunday,6,2024-04,2024-04-14
97,2024-04-15,2024,4,15,Abril,Q2,16,Monday,0,2024-04,2024-04-15
98,2024-04-16,2024,4,16,Abril,Q2,16,Tuesday,1,2024-04,2024-04-16
99,2024-04-17,2024,4,17,Abril,Q2,16,Wednesday,2,2024-04,2024-04-17
100,2024-04-18,2024,4,18,Abril,Q2,16,Thursday,3,2024-04,2024-04-18
101,2024-04-19,2024,4,19,Abril,Q2,16,Friday,4,2024-04,2024-04-19
102,2024-04-20,2024,4,20,Abril,Q2,16,Saturday,5,2024-04,2024-04-20
103,2024-04-21,2024,4,21,Abril,Q2,16,Sunday,6,2024-04,2024-04-21
104,2024-04-22,2024,4,22,Abril,Q2,17,Monday,0,2024-04,2024-04-22
105,2024-04-23,2024,4,23,Abril,Q2,17,Tuesday,1,2024-04,2024-04-23
106,2024-04-24,2024,4,24,Abril,Q2,17,Wednesday,2,2024-04,2024-04-24
