DATA;REDE;DESCRIÇÃO LOCAL;DESCRIÇÃO ITEM;TOTAL DE VENDAS;Outubro_2024;Novembro_2024;BlackFriday_2024;Dezembro_2024;Natal_2024;Outubro_2025;Novembro_2025;BlackFriday_2025;Dezembro_2025;Natal_2025;DESCRIÇÃO LOCAL;PROMOTOR RESPONSAVEL;MPDV DO LOCAL
31/10/2024;FAST SHOP;LOJA 1721;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;R$ 650,00;R$ 585,00;R$ 454,00;R$ 604,00;R$ 663,00;R$ 669,00;R$ 598,00;R$ 468,00;R$ 617,00;R$ 682,00;LOJA 1;SEM ATENDIMENTO;N/A
27/11/2024;FAST SHOP;LOJA 1735;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 715,00;R$ 643,00;R$ 500,00;R$ 664,00;R$ 729,00;R$ 736,00;R$ 657,00;R$ 514,00;R$ 679,00;R$ 750,00;LOJA 2;SEM ATENDIMENTO;N/A
28/11/2025;FAST SHOP;LOJA 1598;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;R$ 747,00;R$ 672,00;R$ 522,00;R$ 694,00;R$ 761,00;R$ 769,00;R$ 687,00;R$ 537,00;R$ 709,00;R$ 784,00;LOJA 3;SEM ATENDIMENTO;N/A
07/11/2024;FAST SHOP;LOJA 1640;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 650,00;R$ 585,00;R$ 454,00;R$ 604,00;R$ 663,00;R$ 669,00;R$ 598,00;R$ 468,00;R$ 617,00;R$ 682,00;LOJA 4;SEM ATENDIMENTO;N/A
01/11/2024;FAST SHOP;LOJA 1696;ECHO SPOT™ - PRETO;2;R$ 715,00;R$ 643,00;R$ 500,00;R$ 664,00;R$ 729,00;R$ 736,00;R$ 657,00;R$ 514,00;R$ 679,00;R$ 750,00;LOJA 5;SEM ATENDIMENTO;N/A
12/11/2024;FAST SHOP;LOJA 1740;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;R$ 747,00;R$ 672,00;R$ 522,00;R$ 694,00;R$ 761,00;R$ 769,00;R$ 687,00;R$ 537,00;R$ 709,00;R$ 784,00;LOJA 6;SEM ATENDIMENTO;N/A
01/12/2024;FAST SHOP;LOJA 1638;ECHO SPOT™ - PRETO;0;R$ 1.100,00;R$ 990,00;R$ 770,00;R$ 1.023,00;R$ 1.122,00;R$ 1.133,00;R$ 1.012,00;R$ 792,00;R$ 1.045,00;R$ 1.155,00;LOJA 7;SEM ATENDIMENTO;N/A
11/12/2024;FAST SHOP;LOJA 1640;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 1.210,00;R$ 1.089,00;R$ 847,00;R$ 1.125,00;R$ 1.234,00;R$ 1.246,00;R$ 1.113,00;R$ 871,00;R$ 1.149,00;R$ 1.270,00;LOJA 8;SEM ATENDIMENTO;N/A
23/11/2024;FAST SHOP;LOJA 1668;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 1.265,00;R$ 1.138,00;R$ 885,00;R$ 1.176,00;R$ 1.290,00;R$ 1.302,00;R$ 1.163,00;R$ 910,00;R$ 1.201,00;R$ 1.328,00;LOJA 9;SEM ATENDIMENTO;N/A
22/11/2024;FAST SHOP;LOJA 1721;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;R$ 1.100,00;R$ 990,00;R$ 770,00;R$ 1.023,00;R$ 1.122,00;R$ 1.133,00;R$ 1.012,00;R$ 792,00;R$ 1.045,00;R$ 1.155,00;LOJA 10;SEM ATENDIMENTO;N/A
11/12/2025;VIVO;LOJA 277;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;R$ 1.210,00;R$ 1.089,00;R$ 847,00;R$ 1.125,00;R$ 1.234,00;R$ 1.246,00;R$ 1.113,00;R$ 871,00;R$ 1.149,00;R$ 1.270,00;LOJA 11;SEM ATENDIMENTO;N/A
28/11/2024;FAST SHOP;LOJA 1658;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;R$ 1.265,00;R$ 1.138,00;R$ 885,00;R$ 1.176,00;R$ 1.290,00;R$ 1.302,00;R$ 1.163,00;R$ 910,00;R$ 1.201,00;R$ 1.328,00;LOJA 12;SEM ATENDIMENTO;N/A
15/12/2025;FAST SHOP;LOJA 1735;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;R$ 2.400,00;R$ 2.160,00;R$ 1.680,00;R$ 2.232,00;R$ 2.448,00;R$ 2.472,00;R$ 2.208,00;R$ 1.728,00;R$ 2.280,00;R$ 2.520,00;LOJA 13;SEM ATENDIMENTO;N/A
25/11/2024;FAST SHOP;LOJA 1696;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 2.640,00;R$ 2.376,00;R$ 1.847,00;R$ 2.455,00;R$ 2.692,00;R$ 2.719,00;R$ 2.428,00;R$ 1.900,00;R$ 2.508,00;R$ 2.772,00;LOJA 14;SEM ATENDIMENTO;N/A
28/11/2025;FAST SHOP;LOJA 1692;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;R$ 2.760,00;R$ 2.484,00;R$ 1.931,00;R$ 2.566,00;R$ 2.815,00;R$ 2.842,00;R$ 2.539,00;R$ 1.987,00;R$ 2.622,00;R$ 2.898,00;LOJA 15;SEM ATENDIMENTO;N/A
16/12/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;3;R$ 450,00;R$ 405,00;R$ 315,00;R$ 418,00;R$ 459,00;R$ 463,00;R$ 414,00;R$ 324,00;R$ 427,00;R$ 472,00;LOJA 16;SEM ATENDIMENTO;N/A
07/11/2024;FAST SHOP;LOJA 1652;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 495,00;R$ 445,00;R$ 346,00;R$ 460,00;R$ 504,00;R$ 509,00;R$ 455,00;R$ 356,00;R$ 470,00;R$ 519,00;LOJA 17;SEM ATENDIMENTO;N/A
10/12/2025;VIVO;LOJA 815;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 517,00;R$ 465,00;R$ 361,00;R$ 480,00;R$ 527,00;R$ 532,00;R$ 475,00;R$ 372,00;R$ 491,00;R$ 542,00;LOJA 18;SEM ATENDIMENTO;N/A
05/11/2024;FAST SHOP;LOJA 1630;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 450,00;R$ 405,00;R$ 315,00;R$ 418,00;R$ 459,00;R$ 463,00;R$ 414,00;R$ 324,00;R$ 427,00;R$ 472,00;LOJA 19;SEM ATENDIMENTO;N/A
09/11/2024;FAST SHOP;LOJA 1630;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;R$ 495,00;R$ 445,00;R$ 346,00;R$ 460,00;R$ 504,00;R$ 509,00;R$ 455,00;R$ 356,00;R$ 470,00;R$ 519,00;LOJA 20;SEM ATENDIMENTO;N/A
16/11/2024;FAST SHOP;LOJA 1652;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;R$ 517,00;R$ 465,00;R$ 361,00;R$ 480,00;R$ 527,00;R$ 532,00;R$ 475,00;R$ 372,00;R$ 491,00;R$ 542,00;LOJA 21;SEM ATENDIMENTO;N/A
18/11/2024;FAST SHOP;LOJA 1652;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;R$ 450,00;R$ 405,00;R$ 315,00;R$ 418,00;R$ 459,00;R$ 463,00;R$ 414,00;R$ 324,00;R$ 427,00;R$ 472,00;LOJA 22;SEM ATENDIMENTO;N/A
27/11/2025;VIVO;LOJA 397;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;R$ 495,00;R$ 445,00;R$ 346,00;R$ 460,00;R$ 504,00;R$ 509,00;R$ 455,00;R$ 356,00;R$ 470,00;R$ 519,00;LOJA 23;SEM ATENDIMENTO;N/A
27/11/2025;VIVO;LOJA 397;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;R$ 517,00;R$ 465,00;R$ 361,00;R$ 480,00;R$ 527,00;R$ 532,00;R$ 475,00;R$ 372,00;R$ 491,00;R$ 542,00;LOJA 24;SEM ATENDIMENTO;N/A
